point_id,num_observations,num_breaks,break_dates,time_span_years,status
1412087,246,-1,,0,error: sccd_detect() got an unexpected keyword argument 'ts_t'
1412089,242,-1,,0,error: sccd_detect() got an unexpected keyword argument 'ts_t'
1412091,247,-1,,0,error: sccd_detect() got an unexpected keyword argument 'ts_t'
1412092,286,-1,,0,error: sccd_detect() got an unexpected keyword argument 'ts_t'
1412093,228,-1,,0,error: sccd_detect() got an unexpected keyword argument 'ts_t'
1412094,206,-1,,0,error: sccd_detect() got an unexpected keyword argument 'ts_t'
1412097,242,-1,,0,error: sccd_detect() got an unexpected keyword argument 'ts_t'
1412098,250,-1,,0,error: sccd_detect() got an unexpected keyword argument 'ts_t'
1412102,220,-1,,0,error: sccd_detect() got an unexpected keyword argument 'ts_t'
1412104,267,-1,,0,error: sccd_detect() got an unexpected keyword argument 'ts_t'
1412107,283,-1,,0,error: sccd_detect() got an unexpected keyword argument 'ts_t'
1412110,267,-1,,0,error: sccd_detect() got an unexpected keyword argument 'ts_t'
1412111,265,-1,,0,error: sccd_detect() got an unexpected keyword argument 'ts_t'
1412112,233,-1,,0,error: sccd_detect() got an unexpected keyword argument 'ts_t'
1412113,262,-1,,0,error: sccd_detect() got an unexpected keyword argument 'ts_t'
1412115,294,-1,,0,error: sccd_detect() got an unexpected keyword argument 'ts_t'
1412118,267,-1,,0,error: sccd_detect() got an unexpected keyword argument 'ts_t'
1412120,241,-1,,0,error: sccd_detect() got an unexpected keyword argument 'ts_t'
1412122,262,-1,,0,error: sccd_detect() got an unexpected keyword argument 'ts_t'
1412125,250,-1,,0,error: sccd_detect() got an unexpected keyword argument 'ts_t'
1412128,270,-1,,0,error: sccd_detect() got an unexpected keyword argument 'ts_t'
1412129,241,-1,,0,error: sccd_detect() got an unexpected keyword argument 'ts_t'
1412130,255,-1,,0,error: sccd_detect() got an unexpected keyword argument 'ts_t'
1412131,244,-1,,0,error: sccd_detect() got an unexpected keyword argument 'ts_t'
1412132,241,-1,,0,error: sccd_detect() got an unexpected keyword argument 'ts_t'
1412133,269,-1,,0,error: sccd_detect() got an unexpected keyword argument 'ts_t'
1412134,250,-1,,0,error: sccd_detect() got an unexpected keyword argument 'ts_t'
1412143,261,-1,,0,error: sccd_detect() got an unexpected keyword argument 'ts_t'
