point_id,algorithm,num_observations,num_breaks,break_dates,time_span_years,status
1412087,S-CCD,246,0,,36.50924024640657,no_breaks_detected
1412089,S-CCD,242,0,,36.290212183436005,no_breaks_detected
1412091,S-CCD,247,0,,36.290212183436005,no_breaks_detected
1412092,S-CCD,286,0,,36.290212183436005,no_breaks_detected
1412093,S-CCD,228,0,,36.421629021218344,no_breaks_detected
1412094,S-CCD,206,-1,,0.0,error: S-CCD function fails for pos = 1 
1412097,S-CCD,242,-1,,0.0,error: S-CCD function fails for pos = 1 
1412098,S-CCD,250,0,,36.31211498973306,no_breaks_detected
1412102,S-CCD,220,-1,,0.0,error: S-CCD function fails for pos = 1 
1412104,S-CCD,267,0,,36.290212183436005,no_breaks_detected
1412107,S-CCD,283,0,,36.50924024640657,no_breaks_detected
1412110,S-CCD,267,-1,,0.0,error: S-CCD function fails for pos = 1 
1412111,S-CCD,265,0,,36.50924024640657,no_breaks_detected
1412112,S-CCD,233,0,,36.18069815195072,no_breaks_detected
1412113,S-CCD,262,0,,36.50924024640657,no_breaks_detected
1412115,S-CCD,294,0,,36.31211498973306,no_breaks_detected
1412118,S-CCD,267,0,,36.290212183436005,no_breaks_detected
1412120,S-CCD,241,0,,36.50924024640657,no_breaks_detected
1412122,S-CCD,262,0,,36.290212183436005,no_breaks_detected
1412125,S-CCD,250,-1,,0.0,error: S-CCD function fails for pos = 1 
1412128,S-CCD,270,0,,36.290212183436005,no_breaks_detected
1412129,S-CCD,241,0,,36.50924024640657,no_breaks_detected
1412130,S-CCD,255,0,,36.50924024640657,no_breaks_detected
1412131,S-CCD,244,0,,36.290212183436005,no_breaks_detected
1412132,S-CCD,241,-1,,0.0,error: S-CCD function fails for pos = 1 
1412133,S-CCD,269,0,,36.290212183436005,no_breaks_detected
1412134,S-CCD,250,0,,36.290212183436005,no_breaks_detected
1412143,S-CCD,261,0,,36.39972621492129,no_breaks_detected
1412145,S-CCD,246,0,,36.421629021218344,no_breaks_detected
1412147,S-CCD,263,0,,36.50924024640657,no_breaks_detected
1412150,S-CCD,245,0,,36.421629021218344,no_breaks_detected
1412151,S-CCD,239,0,,36.224503764544835,no_breaks_detected
1412153,S-CCD,267,0,,36.290212183436005,no_breaks_detected
1412154,S-CCD,250,0,,36.50924024640657,no_breaks_detected
1412155,S-CCD,236,0,,36.421629021218344,no_breaks_detected
1412156,S-CCD,265,0,,36.290212183436005,no_breaks_detected
1412157,S-CCD,206,-1,,0.0,error: S-CCD function fails for pos = 1 
1412158,S-CCD,268,0,,36.290212183436005,no_breaks_detected
1412160,S-CCD,259,0,,36.50924024640657,no_breaks_detected
1412164,S-CCD,248,-1,,0.0,error: S-CCD function fails for pos = 1 
1412166,S-CCD,234,0,,36.31211498973306,no_breaks_detected
1412167,S-CCD,247,-1,,0.0,error: S-CCD function fails for pos = 1 
1412168,S-CCD,278,0,,36.290212183436005,no_breaks_detected
1412179,S-CCD,295,-1,,0.0,error: S-CCD function fails for pos = 1 
1412181,S-CCD,279,0,,36.290212183436005,no_breaks_detected
1412182,S-CCD,235,-1,,0.0,error: S-CCD function fails for pos = 1 
1412183,S-CCD,264,0,,36.290212183436005,no_breaks_detected
1412184,S-CCD,266,0,,36.290212183436005,no_breaks_detected
1412186,S-CCD,256,0,,36.50924024640657,no_breaks_detected
1412188,S-CCD,270,0,,36.290212183436005,no_breaks_detected
1412189,S-CCD,227,-1,,0.0,error: S-CCD function fails for pos = 1 
1412193,S-CCD,229,-1,,0.0,error: S-CCD function fails for pos = 1 
1412194,S-CCD,282,0,,36.31211498973306,no_breaks_detected
1412196,S-CCD,271,0,,36.18069815195072,no_breaks_detected
1412197,S-CCD,268,-1,,0.0,error: S-CCD function fails for pos = 1 
1412199,S-CCD,212,0,,36.50924024640657,no_breaks_detected
1412200,S-CCD,264,0,,36.290212183436005,no_breaks_detected
1412201,S-CCD,238,-1,,0.0,error: S-CCD function fails for pos = 1 
1412204,S-CCD,270,-1,,0.0,error: S-CCD function fails for pos = 1 
1412207,S-CCD,247,-1,,0.0,error: S-CCD function fails for pos = 1 
1412210,S-CCD,238,0,,36.50924024640657,no_breaks_detected
1412212,S-CCD,265,0,,36.421629021218344,no_breaks_detected
1412214,S-CCD,302,-1,,0.0,error: S-CCD function fails for pos = 1 
1412218,S-CCD,249,0,,36.290212183436005,no_breaks_detected
1412219,S-CCD,237,0,,36.290212183436005,no_breaks_detected
1412223,S-CCD,272,0,,36.290212183436005,no_breaks_detected
1412225,S-CCD,241,0,,36.421629021218344,no_breaks_detected
1412227,S-CCD,251,0,,36.290212183436005,no_breaks_detected
1412231,S-CCD,269,0,,36.50924024640657,no_breaks_detected
1412232,S-CCD,223,-1,,0.0,error: S-CCD function fails for pos = 1 
1412233,S-CCD,259,0,,36.50924024640657,no_breaks_detected
1412235,S-CCD,231,-1,,0.0,error: S-CCD function fails for pos = 1 
1412236,S-CCD,264,-1,,0.0,error: S-CCD function fails for pos = 1 
1412238,S-CCD,252,0,,36.421629021218344,no_breaks_detected
1412240,S-CCD,234,-1,,0.0,error: S-CCD function fails for pos = 1 
1412241,S-CCD,243,-1,,0.0,error: S-CCD function fails for pos = 1 
1412243,S-CCD,258,0,,36.50924024640657,no_breaks_detected
1412244,S-CCD,332,0,,36.50924024640657,no_breaks_detected
1412247,S-CCD,259,0,,36.50924024640657,no_breaks_detected
1412249,S-CCD,252,0,,36.290212183436005,no_breaks_detected
1412251,S-CCD,224,-1,,0.0,error: S-CCD function fails for pos = 1 
1412252,S-CCD,217,-1,,0.0,error: S-CCD function fails for pos = 1 
1412253,S-CCD,269,-1,,0.0,error: S-CCD function fails for pos = 1 
1412254,S-CCD,262,0,,36.290212183436005,no_breaks_detected
1412255,S-CCD,233,0,,36.421629021218344,no_breaks_detected
1412262,S-CCD,266,0,,36.290212183436005,no_breaks_detected
1412263,S-CCD,240,-1,,0.0,error: S-CCD function fails for pos = 1 
1412264,S-CCD,261,0,,36.50924024640657,no_breaks_detected
1412267,S-CCD,265,-1,,0.0,error: S-CCD function fails for pos = 1 
1412268,S-CCD,256,-1,,0.0,error: S-CCD function fails for pos = 1 
1412270,S-CCD,255,0,,36.50924024640657,no_breaks_detected
1412273,S-CCD,268,0,,36.50924024640657,no_breaks_detected
1412274,S-CCD,232,0,,36.421629021218344,no_breaks_detected
1412275,S-CCD,268,0,,36.290212183436005,no_breaks_detected
1412277,S-CCD,274,0,,36.50924024640657,no_breaks_detected
1412279,S-CCD,271,0,,36.290212183436005,no_breaks_detected
1412281,S-CCD,262,0,,36.290212183436005,no_breaks_detected
1412282,S-CCD,260,-1,,0.0,error: S-CCD function fails for pos = 1 
1412285,S-CCD,262,0,,36.290212183436005,no_breaks_detected
1412286,S-CCD,240,0,,36.50924024640657,no_breaks_detected
1412289,S-CCD,273,0,,36.290212183436005,no_breaks_detected
1412290,S-CCD,258,0,,36.355920602327174,no_breaks_detected
1412291,S-CCD,271,0,,36.290212183436005,no_breaks_detected
1412293,S-CCD,260,0,,36.290212183436005,no_breaks_detected
1412295,S-CCD,275,0,,36.290212183436005,no_breaks_detected
1412297,S-CCD,259,0,,36.355920602327174,no_breaks_detected
1412299,S-CCD,218,0,,36.421629021218344,no_breaks_detected
1412300,S-CCD,249,0,,36.421629021218344,no_breaks_detected
1412302,S-CCD,280,0,,36.50924024640657,no_breaks_detected
1412303,S-CCD,265,0,,36.290212183436005,no_breaks_detected
1412305,S-CCD,221,0,,36.39972621492129,no_breaks_detected
1412308,S-CCD,258,0,,36.290212183436005,no_breaks_detected
1412309,S-CCD,252,0,,36.31211498973306,no_breaks_detected
1412310,S-CCD,234,-1,,0.0,error: S-CCD function fails for pos = 1 
1412311,S-CCD,256,-1,,0.0,error: S-CCD function fails for pos = 1 
1412312,S-CCD,225,0,,36.4435318275154,no_breaks_detected
1412314,S-CCD,244,-1,,0.0,error: S-CCD function fails for pos = 1 
1412316,S-CCD,200,0,,36.290212183436005,no_breaks_detected
1412317,S-CCD,247,0,,36.50924024640657,no_breaks_detected
1412322,S-CCD,257,0,,36.421629021218344,no_breaks_detected
1412324,S-CCD,275,-1,,0.0,error: S-CCD function fails for pos = 1 
1412328,S-CCD,234,-1,,0.0,error: S-CCD function fails for pos = 1 
1412329,S-CCD,264,0,,36.4435318275154,no_breaks_detected
1412330,S-CCD,281,0,,36.290212183436005,no_breaks_detected
1412331,S-CCD,207,-1,,0.0,error: S-CCD function fails for pos = 1 
1412332,S-CCD,270,0,,36.290212183436005,no_breaks_detected
1412338,S-CCD,225,0,,36.50924024640657,no_breaks_detected
1412340,S-CCD,276,0,,36.290212183436005,no_breaks_detected
1412341,S-CCD,234,0,,36.290212183436005,no_breaks_detected
