point_id,status,num_observations,num_breaks,error_message
1133019,error,880,0,cold function fails for pos = 1133019 
1133020,error,916,0,cold function fails for pos = 1133020 
1133026,error,855,0,cold function fails for pos = 1133026 
1133027,error,916,0,cold function fails for pos = 1133027 
1133028,error,887,0,cold function fails for pos = 1133028 
1133030,error,859,0,cold function fails for pos = 1133030 
1133033,error,887,0,cold function fails for pos = 1133033 
1133035,error,881,0,cold function fails for pos = 1133035 
1133036,error,869,0,cold function fails for pos = 1133036 
1133038,error,860,0,cold function fails for pos = 1133038 
1133040,error,863,0,cold function fails for pos = 1133040 
1133042,error,881,0,cold function fails for pos = 1133042 
1133044,error,871,0,cold function fails for pos = 1133044 
1133045,error,856,0,cold function fails for pos = 1133045 
1133049,error,865,0,cold function fails for pos = 1133049 
1133053,error,868,0,cold function fails for pos = 1133053 
1133054,error,917,0,cold function fails for pos = 1133054 
1133062,error,863,0,cold function fails for pos = 1133062 
1133063,error,858,0,cold function fails for pos = 1133063 
1133065,error,850,0,cold function fails for pos = 1133065 
1133066,error,861,0,cold function fails for pos = 1133066 
1133069,error,874,0,cold function fails for pos = 1133069 
1133070,error,870,0,cold function fails for pos = 1133070 
1133072,error,848,0,cold function fails for pos = 1133072 
1133075,error,871,0,cold function fails for pos = 1133075 
1133080,error,866,0,cold function fails for pos = 1133080 
1133088,error,881,0,cold function fails for pos = 1133088 
1133092,error,856,0,cold function fails for pos = 1133092 
1133096,error,847,0,cold function fails for pos = 1133096 
1133099,error,869,0,cold function fails for pos = 1133099 
1133102,error,869,0,cold function fails for pos = 1133102 
1133107,error,861,0,cold function fails for pos = 1133107 
1133110,error,871,0,cold function fails for pos = 1133110 
1133111,error,861,0,cold function fails for pos = 1133111 
1133113,error,910,0,cold function fails for pos = 1133113 
1133115,error,858,0,cold function fails for pos = 1133115 
1133116,error,850,0,cold function fails for pos = 1133116 
1133117,error,915,0,cold function fails for pos = 1133117 
1133118,error,877,0,cold function fails for pos = 1133118 
1133119,error,879,0,cold function fails for pos = 1133119 
1133120,error,878,0,cold function fails for pos = 1133120 
1133121,error,867,0,cold function fails for pos = 1133121 
1133122,error,870,0,cold function fails for pos = 1133122 
1133131,error,851,0,cold function fails for pos = 1133131 
1133134,error,871,0,cold function fails for pos = 1133134 
1133138,error,870,0,cold function fails for pos = 1133138 
1133140,error,913,0,cold function fails for pos = 1133140 
1133141,error,890,0,cold function fails for pos = 1133141 
1133142,error,911,0,cold function fails for pos = 1133142 
1133146,error,848,0,cold function fails for pos = 1133146 
1133147,error,867,0,cold function fails for pos = 1133147 
1133149,error,862,0,cold function fails for pos = 1133149 
1133150,error,860,0,cold function fails for pos = 1133150 
1133152,error,849,0,cold function fails for pos = 1133152 
1133155,error,847,0,cold function fails for pos = 1133155 
1133156,error,852,0,cold function fails for pos = 1133156 
1133158,error,863,0,cold function fails for pos = 1133158 
1133159,error,872,0,cold function fails for pos = 1133159 
1133160,error,889,0,cold function fails for pos = 1133160 
1133161,error,855,0,cold function fails for pos = 1133161 
1133168,error,881,0,cold function fails for pos = 1133168 
1133174,error,844,0,cold function fails for pos = 1133174 
1133175,error,913,0,cold function fails for pos = 1133175 
1133178,error,865,0,cold function fails for pos = 1133178 
1133181,error,861,0,cold function fails for pos = 1133181 
1133183,error,865,0,cold function fails for pos = 1133183 
1133184,error,868,0,cold function fails for pos = 1133184 
1133185,error,873,0,cold function fails for pos = 1133185 
1133187,error,867,0,cold function fails for pos = 1133187 
1133190,error,875,0,cold function fails for pos = 1133190 
1133196,error,874,0,cold function fails for pos = 1133196 
1133198,error,853,0,cold function fails for pos = 1133198 
1133199,error,850,0,cold function fails for pos = 1133199 
1133200,error,874,0,cold function fails for pos = 1133200 
1133205,error,915,0,cold function fails for pos = 1133205 
1133207,error,847,0,cold function fails for pos = 1133207 
1133209,error,849,0,cold function fails for pos = 1133209 
1133210,error,856,0,cold function fails for pos = 1133210 
1133211,error,874,0,cold function fails for pos = 1133211 
1133212,error,859,0,cold function fails for pos = 1133212 
1133217,error,871,0,cold function fails for pos = 1133217 
1133222,error,879,0,cold function fails for pos = 1133222 
1133223,error,906,0,cold function fails for pos = 1133223 
1133224,error,879,0,cold function fails for pos = 1133224 
1133229,error,916,0,cold function fails for pos = 1133229 
1133230,error,844,0,cold function fails for pos = 1133230 
1133231,error,877,0,cold function fails for pos = 1133231 
1133233,error,868,0,cold function fails for pos = 1133233 
1133238,error,911,0,cold function fails for pos = 1133238 
1133239,error,914,0,cold function fails for pos = 1133239 
1133240,error,872,0,cold function fails for pos = 1133240 
1133243,error,879,0,cold function fails for pos = 1133243 
1133244,error,859,0,cold function fails for pos = 1133244 
1133246,error,848,0,cold function fails for pos = 1133246 
1133249,error,862,0,cold function fails for pos = 1133249 
1133253,error,856,0,cold function fails for pos = 1133253 
1133259,error,880,0,cold function fails for pos = 1133259 
1133260,error,875,0,cold function fails for pos = 1133260 
1133262,error,915,0,cold function fails for pos = 1133262 
1133270,error,871,0,cold function fails for pos = 1133270 
1133275,error,873,0,cold function fails for pos = 1133275 
1133283,error,917,0,cold function fails for pos = 1133283 
1133286,error,867,0,cold function fails for pos = 1133286 
1133290,error,880,0,cold function fails for pos = 1133290 
1133291,error,864,0,cold function fails for pos = 1133291 
1133296,error,859,0,cold function fails for pos = 1133296 
1133297,error,862,0,cold function fails for pos = 1133297 
1133300,error,881,0,cold function fails for pos = 1133300 
1133303,error,875,0,cold function fails for pos = 1133303 
1133304,error,872,0,cold function fails for pos = 1133304 
1133308,error,913,0,cold function fails for pos = 1133308 
1133310,error,852,0,cold function fails for pos = 1133310 
1133312,error,859,0,cold function fails for pos = 1133312 
1133314,error,844,0,cold function fails for pos = 1133314 
1133315,error,864,0,cold function fails for pos = 1133315 
1133318,error,857,0,cold function fails for pos = 1133318 
1133322,error,871,0,cold function fails for pos = 1133322 
1133328,error,913,0,cold function fails for pos = 1133328 
1133329,error,866,0,cold function fails for pos = 1133329 
1133337,error,886,0,cold function fails for pos = 1133337 
1133339,error,914,0,cold function fails for pos = 1133339 
1133341,error,865,0,cold function fails for pos = 1133341 
1133342,error,852,0,cold function fails for pos = 1133342 
1133346,error,909,0,cold function fails for pos = 1133346 
1133349,error,863,0,cold function fails for pos = 1133349 
1133350,error,852,0,cold function fails for pos = 1133350 
1133351,error,914,0,cold function fails for pos = 1133351 
1133352,error,916,0,cold function fails for pos = 1133352 
1133359,error,916,0,cold function fails for pos = 1133359 
1133362,error,875,0,cold function fails for pos = 1133362 
1133365,error,857,0,cold function fails for pos = 1133365 
1133368,error,863,0,cold function fails for pos = 1133368 
1133369,error,917,0,cold function fails for pos = 1133369 
1133373,error,873,0,cold function fails for pos = 1133373 
1133376,error,861,0,cold function fails for pos = 1133376 
1133378,error,852,0,cold function fails for pos = 1133378 
1133381,error,919,0,cold function fails for pos = 1133381 
1133386,error,870,0,cold function fails for pos = 1133386 
1133387,error,869,0,cold function fails for pos = 1133387 
1133389,error,868,0,cold function fails for pos = 1133389 
1133391,error,866,0,cold function fails for pos = 1133391 
1133393,error,841,0,cold function fails for pos = 1133393 
1133395,error,916,0,cold function fails for pos = 1133395 
1133399,error,879,0,cold function fails for pos = 1133399 
1133401,error,871,0,cold function fails for pos = 1133401 
1133402,error,858,0,cold function fails for pos = 1133402 
1133404,error,865,0,cold function fails for pos = 1133404 
1133405,error,852,0,cold function fails for pos = 1133405 
1133406,error,913,0,cold function fails for pos = 1133406 
1133411,error,873,0,cold function fails for pos = 1133411 
1133413,error,874,0,cold function fails for pos = 1133413 
1133414,error,856,0,cold function fails for pos = 1133414 
1133423,error,915,0,cold function fails for pos = 1133423 
1133426,error,896,0,cold function fails for pos = 1133426 
1133430,error,846,0,cold function fails for pos = 1133430 
1133432,error,868,0,cold function fails for pos = 1133432 
1133433,error,863,0,cold function fails for pos = 1133433 
1133437,error,880,0,cold function fails for pos = 1133437 
1133438,error,881,0,cold function fails for pos = 1133438 
1133446,error,861,0,cold function fails for pos = 1133446 
1133448,error,871,0,cold function fails for pos = 1133448 
1133450,error,917,0,cold function fails for pos = 1133450 
1133451,error,861,0,cold function fails for pos = 1133451 
1133457,error,853,0,cold function fails for pos = 1133457 
1133459,error,895,0,cold function fails for pos = 1133459 
1133463,error,862,0,cold function fails for pos = 1133463 
1133467,error,909,0,cold function fails for pos = 1133467 
1133468,error,862,0,cold function fails for pos = 1133468 
1133469,error,860,0,cold function fails for pos = 1133469 
1133472,error,864,0,cold function fails for pos = 1133472 
1133474,error,859,0,cold function fails for pos = 1133474 
1133475,error,880,0,cold function fails for pos = 1133475 
1133476,error,866,0,cold function fails for pos = 1133476 
1133477,error,873,0,cold function fails for pos = 1133477 
1133478,error,845,0,cold function fails for pos = 1133478 
1133482,error,870,0,cold function fails for pos = 1133482 
1133485,error,878,0,cold function fails for pos = 1133485 
1133486,error,906,0,cold function fails for pos = 1133486 
1133491,error,859,0,cold function fails for pos = 1133491 
1133492,error,860,0,cold function fails for pos = 1133492 
1133497,error,841,0,cold function fails for pos = 1133497 
1133501,error,865,0,cold function fails for pos = 1133501 
