point_id,num_observations,num_breaks,break_dates,time_span_years,status
1412286,240,0,,36.50924024640657,no_breaks_detected
1412289,273,0,,36.290212183436005,no_breaks_detected
1412290,258,0,,36.355920602327174,no_breaks_detected
1412291,271,0,,36.290212183436005,no_breaks_detected
1412293,260,0,,36.290212183436005,no_breaks_detected
1412295,275,0,,36.290212183436005,no_breaks_detected
1412297,259,0,,36.355920602327174,no_breaks_detected
1412299,218,0,,36.421629021218344,no_breaks_detected
1412300,249,0,,36.421629021218344,no_breaks_detected
1412302,280,0,,36.50924024640657,no_breaks_detected
1412303,265,0,,36.290212183436005,no_breaks_detected
1412305,221,0,,36.39972621492129,no_breaks_detected
1412308,258,0,,36.290212183436005,no_breaks_detected
1412309,252,0,,36.31211498973306,no_breaks_detected
1412310,234,-1,,0.0,error: S-CCD function fails for pos = 1 
1412311,256,-1,,0.0,error: S-CCD function fails for pos = 1 
1412312,225,0,,36.4435318275154,no_breaks_detected
1412314,244,-1,,0.0,error: S-CCD function fails for pos = 1 
1412316,200,0,,36.290212183436005,no_breaks_detected
1412317,247,0,,36.50924024640657,no_breaks_detected
1412322,257,0,,36.421629021218344,no_breaks_detected
1412324,275,-1,,0.0,error: S-CCD function fails for pos = 1 
1412328,234,-1,,0.0,error: S-CCD function fails for pos = 1 
1412329,264,0,,36.4435318275154,no_breaks_detected
1412330,281,0,,36.290212183436005,no_breaks_detected
1412331,207,-1,,0.0,error: S-CCD function fails for pos = 1 
1412332,270,0,,36.290212183436005,no_breaks_detected
1412338,225,0,,36.50924024640657,no_breaks_detected
1412340,276,0,,36.290212183436005,no_breaks_detected
1412341,234,0,,36.290212183436005,no_breaks_detected
1412342,281,0,,36.290212183436005,no_breaks_detected
1412343,259,0,,36.290212183436005,no_breaks_detected
1412344,265,0,,36.39972621492129,no_breaks_detected
1412350,258,0,,36.421629021218344,no_breaks_detected
1412351,272,0,,36.07118412046543,no_breaks_detected
1412352,262,0,,36.50924024640657,no_breaks_detected
1412358,245,0,,36.290212183436005,no_breaks_detected
1412366,274,-1,,0.0,error: S-CCD function fails for pos = 1 
1412369,265,0,,36.290212183436005,no_breaks_detected
1412375,269,0,,36.50924024640657,no_breaks_detected
1412376,263,0,,36.355920602327174,no_breaks_detected
1412377,244,0,,36.421629021218344,no_breaks_detected
1412379,273,0,,36.50924024640657,no_breaks_detected
1412380,273,0,,36.290212183436005,no_breaks_detected
1412381,274,-1,,0.0,error: S-CCD function fails for pos = 1 
1412382,261,-1,,0.0,error: S-CCD function fails for pos = 1 
1412386,240,0,,36.18069815195072,no_breaks_detected
1412392,272,-1,,0.0,error: S-CCD function fails for pos = 1 
1412396,258,-1,,0.0,error: S-CCD function fails for pos = 1 
1412397,256,-1,,0.0,error: S-CCD function fails for pos = 1 
1412398,238,0,,36.18069815195072,no_breaks_detected
1412400,259,0,,36.290212183436005,no_breaks_detected
1412406,238,0,,36.290212183436005,no_breaks_detected
1412407,252,0,,36.50924024640657,no_breaks_detected
1412408,268,0,,36.290212183436005,no_breaks_detected
1412409,225,-1,,0.0,error: S-CCD function fails for pos = 1 
1412410,223,0,,36.31211498973306,no_breaks_detected
1412412,245,0,,36.421629021218344,no_breaks_detected
1412419,276,0,,36.290212183436005,no_breaks_detected
1412423,251,0,,36.50924024640657,no_breaks_detected
1412426,226,0,,36.290212183436005,no_breaks_detected
1412428,226,-1,,0.0,error: S-CCD function fails for pos = 1 
1412431,286,0,,36.421629021218344,no_breaks_detected
1412433,281,0,,36.290212183436005,no_breaks_detected
1412435,243,0,,36.50924024640657,no_breaks_detected
1412439,266,0,,36.290212183436005,no_breaks_detected
1412441,263,-1,,0.0,error: S-CCD function fails for pos = 1 
1412443,276,0,,36.290212183436005,no_breaks_detected
1412444,250,0,,36.50924024640657,no_breaks_detected
1412446,249,0,,36.421629021218344,no_breaks_detected
1412448,239,0,,36.355920602327174,no_breaks_detected
1412449,282,0,,36.4435318275154,no_breaks_detected
1412451,229,0,,36.421629021218344,no_breaks_detected
1412452,235,0,,36.421629021218344,no_breaks_detected
1412453,242,-1,,0.0,error: S-CCD function fails for pos = 1 
1412454,255,0,,36.290212183436005,no_breaks_detected
1412455,247,-1,,0.0,error: S-CCD function fails for pos = 1 
1412456,276,0,,36.290212183436005,no_breaks_detected
1412459,253,0,,36.50924024640657,no_breaks_detected
1412460,287,0,,36.421629021218344,no_breaks_detected
1412461,266,-1,,0.0,error: S-CCD function fails for pos = 1 
1412462,262,0,,36.290212183436005,no_breaks_detected
1412463,266,-1,,0.0,error: S-CCD function fails for pos = 1 
1412469,238,-1,,0.0,error: S-CCD function fails for pos = 1 
1412470,262,0,,36.290212183436005,no_breaks_detected
1412471,278,0,,36.290212183436005,no_breaks_detected
1412472,218,-1,,0.0,error: S-CCD function fails for pos = 1 
1412475,251,0,,36.290212183436005,no_breaks_detected
1412476,240,0,,36.224503764544835,no_breaks_detected
1412477,265,-1,,0.0,error: S-CCD function fails for pos = 1 
1412479,261,0,,36.50924024640657,no_breaks_detected
1412482,273,0,,36.290212183436005,no_breaks_detected
1412484,265,0,,36.39972621492129,no_breaks_detected
1412485,268,0,,36.290212183436005,no_breaks_detected
1412486,273,0,,36.290212183436005,no_breaks_detected
1412488,265,0,,36.290212183436005,no_breaks_detected
1412489,280,0,,36.290212183436005,no_breaks_detected
1412490,282,0,,36.50924024640657,no_breaks_detected
1412491,217,0,,36.290212183436005,no_breaks_detected
1412492,250,0,,36.290212183436005,no_breaks_detected
1412493,251,0,,36.50924024640657,no_breaks_detected
1412494,268,0,,36.50924024640657,no_breaks_detected
1412496,223,-1,,0.0,error: S-CCD function fails for pos = 1 
1412498,246,-1,,0.0,error: S-CCD function fails for pos = 1 
1412500,234,0,,36.290212183436005,no_breaks_detected
1412504,250,0,,36.290212183436005,no_breaks_detected
1412505,220,0,,36.224503764544835,no_breaks_detected
1412507,268,0,,36.50924024640657,no_breaks_detected
1412509,299,0,,36.50924024640657,no_breaks_detected
1412510,265,0,,36.18069815195072,no_breaks_detected
1412515,221,-1,,0.0,error: S-CCD function fails for pos = 1 
1412516,221,0,,36.290212183436005,no_breaks_detected
1412517,232,-1,,0.0,error: S-CCD function fails for pos = 1 
1412520,254,0,,36.224503764544835,no_breaks_detected
1412522,283,0,,36.290212183436005,no_breaks_detected
1412526,257,-1,,0.0,error: S-CCD function fails for pos = 1 
1412527,250,-1,,0.0,error: S-CCD function fails for pos = 1 
1412530,245,0,,36.421629021218344,no_breaks_detected
1412535,282,0,,36.290212183436005,no_breaks_detected
1412536,229,-1,,0.0,error: S-CCD function fails for pos = 1 
1412538,241,0,,36.290212183436005,no_breaks_detected
1412541,251,0,,36.421629021218344,no_breaks_detected
1412542,279,0,,36.290212183436005,no_breaks_detected
1412544,255,0,,36.290212183436005,no_breaks_detected
1412546,265,-1,,0.0,error: S-CCD function fails for pos = 1 
1412547,266,0,,36.421629021218344,no_breaks_detected
1412549,233,0,,36.50924024640657,no_breaks_detected
1412554,254,-1,,0.0,error: S-CCD function fails for pos = 1 
1412557,268,0,,36.50924024640657,no_breaks_detected
1412564,201,0,,36.50924024640657,no_breaks_detected
1412566,260,0,,36.50924024640657,no_breaks_detected
1412568,237,0,,36.290212183436005,no_breaks_detected
1412570,241,-1,,0.0,error: S-CCD function fails for pos = 1 
1412572,245,0,,36.290212183436005,no_breaks_detected
1412574,252,0,,36.31211498973306,no_breaks_detected
1412575,233,-1,,0.0,error: S-CCD function fails for pos = 1 
1412577,246,0,,36.50924024640657,no_breaks_detected
1412578,252,0,,36.290212183436005,no_breaks_detected
1412581,259,-1,,0.0,error: S-CCD function fails for pos = 1 
1412582,228,-1,,0.0,error: S-CCD function fails for pos = 1 
1412584,256,0,,36.290212183436005,no_breaks_detected
1412587,243,-1,,0.0,error: S-CCD function fails for pos = 1 
1412588,258,0,,36.290212183436005,no_breaks_detected
1412589,267,0,,36.50924024640657,no_breaks_detected
1412592,267,0,,36.290212183436005,no_breaks_detected
1412593,260,-1,,0.0,error: S-CCD function fails for pos = 1 
1412594,257,0,,36.290212183436005,no_breaks_detected
1412596,294,0,,36.421629021218344,no_breaks_detected
