point_id,num_observations,num_breaks,break_dates,time_span_years,status
1412087,246,-1,,0,error: sccd_detect() got an unexpected keyword argument 'blues'
1412089,242,-1,,0,error: sccd_detect() got an unexpected keyword argument 'blues'
1412091,247,-1,,0,error: sccd_detect() got an unexpected keyword argument 'blues'
1412092,286,-1,,0,error: sccd_detect() got an unexpected keyword argument 'blues'
1412093,228,-1,,0,error: sccd_detect() got an unexpected keyword argument 'blues'
1412094,206,-1,,0,error: sccd_detect() got an unexpected keyword argument 'blues'
1412097,242,-1,,0,error: sccd_detect() got an unexpected keyword argument 'blues'
1412098,250,-1,,0,error: sccd_detect() got an unexpected keyword argument 'blues'
1412102,220,-1,,0,error: sccd_detect() got an unexpected keyword argument 'blues'
1412104,267,-1,,0,error: sccd_detect() got an unexpected keyword argument 'blues'
1412107,283,-1,,0,error: sccd_detect() got an unexpected keyword argument 'blues'
1412110,267,-1,,0,error: sccd_detect() got an unexpected keyword argument 'blues'
1412111,265,-1,,0,error: sccd_detect() got an unexpected keyword argument 'blues'
1412112,233,-1,,0,error: sccd_detect() got an unexpected keyword argument 'blues'
1412113,262,-1,,0,error: sccd_detect() got an unexpected keyword argument 'blues'
1412115,294,-1,,0,error: sccd_detect() got an unexpected keyword argument 'blues'
1412118,267,-1,,0,error: sccd_detect() got an unexpected keyword argument 'blues'
1412120,241,-1,,0,error: sccd_detect() got an unexpected keyword argument 'blues'
1412122,262,-1,,0,error: sccd_detect() got an unexpected keyword argument 'blues'
1412125,250,-1,,0,error: sccd_detect() got an unexpected keyword argument 'blues'
1412128,270,-1,,0,error: sccd_detect() got an unexpected keyword argument 'blues'
1412129,241,-1,,0,error: sccd_detect() got an unexpected keyword argument 'blues'
1412130,255,-1,,0,error: sccd_detect() got an unexpected keyword argument 'blues'
1412131,244,-1,,0,error: sccd_detect() got an unexpected keyword argument 'blues'
1412132,241,-1,,0,error: sccd_detect() got an unexpected keyword argument 'blues'
1412133,269,-1,,0,error: sccd_detect() got an unexpected keyword argument 'blues'
1412134,250,-1,,0,error: sccd_detect() got an unexpected keyword argument 'blues'
1412143,261,-1,,0,error: sccd_detect() got an unexpected keyword argument 'blues'
1412145,246,-1,,0,error: sccd_detect() got an unexpected keyword argument 'blues'
1412147,263,-1,,0,error: sccd_detect() got an unexpected keyword argument 'blues'
1412150,245,-1,,0,error: sccd_detect() got an unexpected keyword argument 'blues'
1412151,239,-1,,0,error: sccd_detect() got an unexpected keyword argument 'blues'
1412153,267,-1,,0,error: sccd_detect() got an unexpected keyword argument 'blues'
1412154,250,-1,,0,error: sccd_detect() got an unexpected keyword argument 'blues'
1412155,236,-1,,0,error: sccd_detect() got an unexpected keyword argument 'blues'
1412156,265,-1,,0,error: sccd_detect() got an unexpected keyword argument 'blues'
1412157,206,-1,,0,error: sccd_detect() got an unexpected keyword argument 'blues'
1412158,268,-1,,0,error: sccd_detect() got an unexpected keyword argument 'blues'
1412160,259,-1,,0,error: sccd_detect() got an unexpected keyword argument 'blues'
1412164,248,-1,,0,error: sccd_detect() got an unexpected keyword argument 'blues'
1412166,234,-1,,0,error: sccd_detect() got an unexpected keyword argument 'blues'
1412167,247,-1,,0,error: sccd_detect() got an unexpected keyword argument 'blues'
1412168,278,-1,,0,error: sccd_detect() got an unexpected keyword argument 'blues'
1412179,295,-1,,0,error: sccd_detect() got an unexpected keyword argument 'blues'
1412181,279,-1,,0,error: sccd_detect() got an unexpected keyword argument 'blues'
1412182,235,-1,,0,error: sccd_detect() got an unexpected keyword argument 'blues'
1412183,264,-1,,0,error: sccd_detect() got an unexpected keyword argument 'blues'
1412184,266,-1,,0,error: sccd_detect() got an unexpected keyword argument 'blues'
1412186,256,-1,,0,error: sccd_detect() got an unexpected keyword argument 'blues'
1412188,270,-1,,0,error: sccd_detect() got an unexpected keyword argument 'blues'
1412189,227,-1,,0,error: sccd_detect() got an unexpected keyword argument 'blues'
1412193,229,-1,,0,error: sccd_detect() got an unexpected keyword argument 'blues'
1412194,282,-1,,0,error: sccd_detect() got an unexpected keyword argument 'blues'
1412196,271,-1,,0,error: sccd_detect() got an unexpected keyword argument 'blues'
1412197,268,-1,,0,error: sccd_detect() got an unexpected keyword argument 'blues'
1412199,212,-1,,0,error: sccd_detect() got an unexpected keyword argument 'blues'
1412200,264,-1,,0,error: sccd_detect() got an unexpected keyword argument 'blues'
1412201,238,-1,,0,error: sccd_detect() got an unexpected keyword argument 'blues'
1412204,270,-1,,0,error: sccd_detect() got an unexpected keyword argument 'blues'
1412207,247,-1,,0,error: sccd_detect() got an unexpected keyword argument 'blues'
1412210,238,-1,,0,error: sccd_detect() got an unexpected keyword argument 'blues'
1412212,265,-1,,0,error: sccd_detect() got an unexpected keyword argument 'blues'
1412214,302,-1,,0,error: sccd_detect() got an unexpected keyword argument 'blues'
1412218,249,-1,,0,error: sccd_detect() got an unexpected keyword argument 'blues'
1412219,237,-1,,0,error: sccd_detect() got an unexpected keyword argument 'blues'
1412223,272,-1,,0,error: sccd_detect() got an unexpected keyword argument 'blues'
1412225,241,-1,,0,error: sccd_detect() got an unexpected keyword argument 'blues'
1412227,251,-1,,0,error: sccd_detect() got an unexpected keyword argument 'blues'
1412231,269,-1,,0,error: sccd_detect() got an unexpected keyword argument 'blues'
1412232,223,-1,,0,error: sccd_detect() got an unexpected keyword argument 'blues'
