attribute,value,count
common_name,"Oil Palm, Fruit",4603
common_name,Fruit,3794
common_name,"Rubber, Fruit",213
common_name,"Fruit, Areca Palm",49
common_name,"Coconut Palm, Fruit",10
common_name,"Fruit, Cacao",10
common_name,Fruit Mix,4
common_name,"Fruit, Oil Palm",2
species_simp,Fruit Mix,6135
species_simp,Fruit,5290
