fid_index,matched_fields,common_name,species,species_simp
16255,species_simp,Coffee,Coffea sp.,Fruit
16272,common_name;species_simp,Fruit,Unknown,Fruit
16292,species_simp,Coffee,Coffea sp.,Fruit
16296,common_name;species_simp,Fruit,Unknown,Fruit
16300,species_simp,Coffee,Coffea sp.,Fruit
16301,species_simp,Coffee,Coffea sp.,Fruit
16306,common_name;species_simp,Fruit,Unknown,Fruit
16316,species_simp,Coffee,Coffea sp.,Fruit
16326,species_simp,Coffee,Coffea sp.,Fruit
16341,species_simp,Coffee,Coffea sp.,Fruit
16362,species_simp,Coffee,Coffea sp.,Fruit
16364,species_simp,Coffee,Coffea sp.,Fruit
16370,species_simp,Coffee,Coffea sp.,Fruit
16373,species_simp,Coffee,Coffea sp.,Fruit
16375,species_simp,Coffee,Coffea sp.,Fruit
16377,species_simp,Coffee,Coffea sp.,Fruit
16383,common_name;species_simp,Fruit,Unknown,Fruit
16393,species_simp,Coffee,Coffea sp.,Fruit
16397,species_simp,Coffee,Coffea sp.,Fruit
16400,species_simp,Coffee,Coffea sp.,Fruit
16407,species_simp,Coffee,Coffea sp.,Fruit
16409,species_simp,Coffee,Coffea sp.,Fruit
16410,common_name;species_simp,Fruit,Unknown,Fruit
16413,species_simp,Coffee,Coffea sp.,Fruit
16417,common_name;species_simp,Fruit,Unknown,Fruit
16426,species_simp,Coffee,Coffea sp.,Fruit
16427,species_simp,Coffee Mix,Coffea sp. Mix,Fruit
16429,species_simp,Cacao,Theobroma cacao,Fruit
16431,species_simp,Coffee,Coffea sp.,Fruit
16439,species_simp,Coffee,Coffea sp.,Fruit
16440,species_simp,Cacao,Theobroma cacao,Fruit
16444,species_simp,Coffee,Coffea sp.,Fruit
16451,species_simp,Coffee,Coffea sp.,Fruit
16455,species_simp,Coffee,Coffea sp.,Fruit
16463,species_simp,Coffee,Coffea sp.,Fruit
16467,species_simp,Coffee,Coffea sp.,Fruit
16474,species_simp,Coffee,Coffea sp.,Fruit
16477,species_simp,Cacao,Theobroma cacao,Fruit
16481,species_simp,Cacao,Theobroma cacao,Fruit
16484,species_simp,Coffee,Coffea sp.,Fruit
16486,species_simp,"Coffee, Oil Palm","Coffea sp., Elaeis guineensis",Fruit Mix
16487,common_name;species_simp,Fruit,Unknown,Fruit
16488,species_simp,Coffee,Coffea sp.,Fruit
16492,species_simp,Coffee,Coffea sp.,Fruit
16496,species_simp,Coffee,Coffea sp.,Fruit
16498,common_name;species_simp,Fruit,Unknown,Fruit
16500,species_simp,Coffee,Coffea sp.,Fruit
16505,species_simp,Coffee,Coffea sp.,Fruit
16509,species_simp,Coffee,Coffea sp.,Fruit
16511,species_simp,Cacao,Theobroma cacao,Fruit
16515,species_simp,Coffee,Coffea sp.,Fruit
16519,species_simp,Coffee,Coffea sp.,Fruit
16520,species_simp,Coffee,Coffea sp.,Fruit
16522,species_simp,Coffee,Coffea sp.,Fruit
16532,species_simp,Coffee,Coffea sp.,Fruit
16533,species_simp,Coffee,Coffea sp.,Fruit
16537,species_simp,Coffee,Coffea sp.,Fruit
16540,species_simp,Coffee,Coffea sp.,Fruit
16541,species_simp,Coffee,Coffea sp.,Fruit
16544,species_simp,Coffee,Coffea sp.,Fruit
16545,species_simp,Coffee,Coffea sp.,Fruit
16549,species_simp,Coffee,Coffea sp.,Fruit
16550,species_simp,Cacao,Theobroma cacao,Fruit
16552,species_simp,Coffee,Coffea sp.,Fruit
16559,species_simp,Coffee,Coffea sp.,Fruit
16562,species_simp,Coffee,Coffea sp.,Fruit
16565,species_simp,Coffee,Coffea sp.,Fruit
16570,species_simp,Coffee,Coffea sp.,Fruit
16575,species_simp,Coffee,Coffea sp.,Fruit
16583,species_simp,Coffee,Coffea sp.,Fruit
16586,common_name;species_simp,Fruit,Unknown,Fruit
16593,species_simp,Coffee,Coffea sp.,Fruit
16597,species_simp,Coffee,Coffea sp.,Fruit
16607,species_simp,Coffee,Coffea sp.,Fruit
16612,species_simp,Coffee,Coffea sp.,Fruit
16615,species_simp,Coffee,Coffea sp.,Fruit
16619,species_simp,Coffee,Coffea sp.,Fruit
16620,species_simp,Coffee,Coffea sp.,Fruit
16628,species_simp,Coffee,Coffea sp.,Fruit
16630,species_simp,Coffee,Coffea sp.,Fruit
16639,species_simp,Coffee,Coffea sp.,Fruit
16645,species_simp,Coffee,Coffea sp.,Fruit
16647,species_simp,Coffee,Coffea sp.,Fruit
16648,species_simp,Coffee,Coffea sp.,Fruit
16652,species_simp,Coconut Palm,Cocos nucifera,Fruit
16654,species_simp,Coffee,Coffea sp.,Fruit
16657,species_simp,Coffee,Coffea sp.,Fruit
16674,species_simp,Coconut Palm,Cocos nucifera,Fruit
16677,species_simp,Coffee,Coffea sp.,Fruit
16682,species_simp,Coconut Palm,Cocos nucifera,Fruit
16689,common_name;species_simp,Fruit,Unknown,Fruit
16692,species_simp,Pecan,Carya illinoinensis,Fruit
16695,species_simp,Coffee,Coffea sp.,Fruit
16696,common_name;species_simp,Fruit,Unknown,Fruit
16702,common_name;species_simp,Fruit,Unknown,Fruit
16705,species_simp,Coffee,Coffea sp.,Fruit
16706,species_simp,Coconut Palm,Cocos nucifera,Fruit
16730,species_simp,Coconut Palm,Cocos nucifera,Fruit
16734,species_simp,Cacao,Theobroma cacao,Fruit
16736,species_simp,Coconut Palm,Cocos nucifera,Fruit
16737,species_simp,Coffee,Coffea sp.,Fruit
16739,common_name;species_simp,Fruit,Unknown,Fruit
44726,common_name;species_simp,"Rubber, Fruit","Hevea brasiliensis, Unknown",Fruit Mix
48145,species_simp,Coconut Palm,Cocos nucifera,Fruit
50762,species_simp,Coconut Palm Mix,Cocos nucifera Mix,Fruit
51273,species_simp,Coconut Palm Mix,Cocos nucifera Mix,Fruit
51557,species_simp,"Rubber, Coconut Palm","Hevea brasiliensis, Cocos nucifera",Fruit Mix
51558,species_simp,"Rubber, Coconut Palm","Hevea brasiliensis, Cocos nucifera",Fruit Mix
51559,species_simp,"Rubber, Coconut Palm","Hevea brasiliensis, Cocos nucifera",Fruit Mix
51560,species_simp,"Rubber, Coconut Palm","Hevea brasiliensis, Cocos nucifera",Fruit Mix
51561,species_simp,"Rubber, Coconut Palm","Hevea brasiliensis, Cocos nucifera",Fruit Mix
51562,species_simp,"Rubber, Coconut Palm","Hevea brasiliensis, Cocos nucifera",Fruit Mix
51563,species_simp,"Rubber, Coconut Palm","Hevea brasiliensis, Cocos nucifera",Fruit Mix
51564,species_simp,"Rubber, Coconut Palm","Hevea brasiliensis, Cocos nucifera",Fruit Mix
51565,species_simp,"Rubber, Coconut Palm","Hevea brasiliensis, Cocos nucifera",Fruit Mix
53400,common_name;species_simp,"Rubber, Fruit","Hevea brasiliensis, Unknown",Fruit Mix
53401,common_name;species_simp,"Rubber, Fruit","Hevea brasiliensis, Unknown",Fruit Mix
53402,common_name;species_simp,"Rubber, Fruit","Hevea brasiliensis, Unknown",Fruit Mix
53403,common_name;species_simp,"Rubber, Fruit","Hevea brasiliensis, Unknown",Fruit Mix
53404,common_name;species_simp,"Rubber, Fruit","Hevea brasiliensis, Unknown",Fruit Mix
53405,common_name;species_simp,"Rubber, Fruit","Hevea brasiliensis, Unknown",Fruit Mix
53406,common_name;species_simp,"Rubber, Fruit","Hevea brasiliensis, Unknown",Fruit Mix
53407,common_name;species_simp,"Rubber, Fruit","Hevea brasiliensis, Unknown",Fruit Mix
53408,common_name;species_simp,"Rubber, Fruit","Hevea brasiliensis, Unknown",Fruit Mix
53409,common_name;species_simp,"Rubber, Fruit","Hevea brasiliensis, Unknown",Fruit Mix
53410,common_name;species_simp,"Rubber, Fruit","Hevea brasiliensis, Unknown",Fruit Mix
53411,common_name;species_simp,"Rubber, Fruit","Hevea brasiliensis, Unknown",Fruit Mix
53412,common_name;species_simp,"Rubber, Fruit","Hevea brasiliensis, Unknown",Fruit Mix
53413,common_name;species_simp,"Rubber, Fruit","Hevea brasiliensis, Unknown",Fruit Mix
54166,species_simp,"Coconut Palm, Areca Palm","Cocos nucifera, Areca sp.",Fruit Mix
54167,species_simp,"Coconut Palm, Areca Palm","Cocos nucifera, Areca sp.",Fruit Mix
54168,species_simp,"Coconut Palm, Areca Palm","Cocos nucifera, Areca sp.",Fruit Mix
54169,species_simp,"Coconut Palm, Areca Palm","Cocos nucifera, Areca sp.",Fruit Mix
