fid_index,matched_fields,common_name,species,species_simp
190592,common_name;species_simp,"Oil Palm, Fruit","Elaeis guineensis, Unknown",Fruit Mix
190609,common_name;species_simp,"Oil Palm, Fruit","Elaeis guineensis, Unknown",Fruit Mix
190610,common_name;species_simp,"Oil Palm, Fruit","Elaeis guineensis, Unknown",Fruit Mix
190611,common_name;species_simp,"Oil Palm, Fruit","Elaeis guineensis, Unknown",Fruit Mix
190612,common_name;species_simp,"Oil Palm, Fruit","Elaeis guineensis, Unknown",Fruit Mix
190629,species_simp,Coconut Palm Mix,Cocos nucifera Mix,Fruit
190630,species_simp,Coconut Palm Mix,Cocos nucifera Mix,Fruit
190631,species_simp,Coconut Palm Mix,Cocos nucifera Mix,Fruit
190632,species_simp,Coconut Palm Mix,Cocos nucifera Mix,Fruit
190633,species_simp,Coconut Palm Mix,Cocos nucifera Mix,Fruit
190634,species_simp,Coconut Palm Mix,Cocos nucifera Mix,Fruit
190635,species_simp,Coconut Palm Mix,Cocos nucifera Mix,Fruit
190636,species_simp,Coconut Palm Mix,Cocos nucifera Mix,Fruit
190637,species_simp,Coconut Palm Mix,Cocos nucifera Mix,Fruit
190638,species_simp,Coconut Palm Mix,Cocos nucifera Mix,Fruit
190639,species_simp,Coconut Palm Mix,Cocos nucifera Mix,Fruit
190640,species_simp,Coconut Palm Mix,Cocos nucifera Mix,Fruit
190641,species_simp,Coconut Palm Mix,Cocos nucifera Mix,Fruit
190642,species_simp,Coconut Palm Mix,Cocos nucifera Mix,Fruit
190643,species_simp,Coconut Palm Mix,Cocos nucifera Mix,Fruit
190644,species_simp,Coconut Palm Mix,Cocos nucifera Mix,Fruit
190645,species_simp,Coconut Palm Mix,Cocos nucifera Mix,Fruit
190646,species_simp,Coconut Palm Mix,Cocos nucifera Mix,Fruit
190647,species_simp,Coconut Palm Mix,Cocos nucifera Mix,Fruit
190648,species_simp,Coconut Palm Mix,Cocos nucifera Mix,Fruit
190649,species_simp,Coconut Palm Mix,Cocos nucifera Mix,Fruit
190650,species_simp,Coconut Palm Mix,Cocos nucifera Mix,Fruit
190651,species_simp,Coconut Palm Mix,Cocos nucifera Mix,Fruit
190652,species_simp,Coconut Palm Mix,Cocos nucifera Mix,Fruit
190653,species_simp,Coconut Palm Mix,Cocos nucifera Mix,Fruit
190654,species_simp,Coconut Palm Mix,Cocos nucifera Mix,Fruit
190655,species_simp,Coconut Palm Mix,Cocos nucifera Mix,Fruit
190656,species_simp,Coconut Palm Mix,Cocos nucifera Mix,Fruit
190657,species_simp,Coconut Palm Mix,Cocos nucifera Mix,Fruit
190658,species_simp,Coconut Palm Mix,Cocos nucifera Mix,Fruit
190659,species_simp,Coconut Palm Mix,Cocos nucifera Mix,Fruit
190686,species_simp,Coconut Palm Mix,Cocos nucifera Mix,Fruit
190701,species_simp,"Coconut Palm, Areca Palm","Cocos nucifera, Areca sp.",Fruit Mix
190702,species_simp,"Coconut Palm, Areca Palm","Cocos nucifera, Areca sp.",Fruit Mix
190703,species_simp,"Coconut Palm, Areca Palm","Cocos nucifera, Areca sp.",Fruit Mix
190704,species_simp,"Coconut Palm, Areca Palm","Cocos nucifera, Areca sp.",Fruit Mix
190705,species_simp,"Coconut Palm, Areca Palm","Cocos nucifera, Areca sp.",Fruit Mix
190706,species_simp,"Coconut Palm, Areca Palm","Cocos nucifera, Areca sp.",Fruit Mix
190707,species_simp,"Coconut Palm, Areca Palm","Cocos nucifera, Areca sp.",Fruit Mix
190708,species_simp,"Coconut Palm, Areca Palm","Cocos nucifera, Areca sp.",Fruit Mix
190709,species_simp,"Coconut Palm, Areca Palm","Cocos nucifera, Areca sp.",Fruit Mix
190710,species_simp,"Coconut Palm, Areca Palm","Cocos nucifera, Areca sp.",Fruit Mix
190711,species_simp,"Coconut Palm, Areca Palm","Cocos nucifera, Areca sp.",Fruit Mix
190712,species_simp,"Coconut Palm, Areca Palm","Cocos nucifera, Areca sp.",Fruit Mix
190713,species_simp,"Coconut Palm, Areca Palm","Cocos nucifera, Areca sp.",Fruit Mix
190714,species_simp,"Coconut Palm, Areca Palm","Cocos nucifera, Areca sp.",Fruit Mix
190715,species_simp,"Coconut Palm, Areca Palm","Cocos nucifera, Areca sp.",Fruit Mix
190716,species_simp,"Coconut Palm, Areca Palm","Cocos nucifera, Areca sp.",Fruit Mix
190717,species_simp,"Coconut Palm, Areca Palm","Cocos nucifera, Areca sp.",Fruit Mix
190718,species_simp,"Coconut Palm, Areca Palm","Cocos nucifera, Areca sp.",Fruit Mix
190719,species_simp,"Coconut Palm, Areca Palm","Cocos nucifera, Areca sp.",Fruit Mix
190720,species_simp,"Coconut Palm, Areca Palm","Cocos nucifera, Areca sp.",Fruit Mix
190721,species_simp,"Coconut Palm, Areca Palm","Cocos nucifera, Areca sp.",Fruit Mix
192052,species_simp,"Coconut Palm, Areca Palm","Cocos nucifera, Areca sp.",Fruit Mix
192053,species_simp,"Coconut Palm, Areca Palm","Cocos nucifera, Areca sp.",Fruit Mix
192054,species_simp,"Coconut Palm, Areca Palm","Cocos nucifera, Areca sp.",Fruit Mix
192055,species_simp,"Coconut Palm, Areca Palm","Cocos nucifera, Areca sp.",Fruit Mix
192056,species_simp,"Coconut Palm, Areca Palm","Cocos nucifera, Areca sp.",Fruit Mix
192057,species_simp,"Coconut Palm, Areca Palm","Cocos nucifera, Areca sp.",Fruit Mix
192058,species_simp,"Coconut Palm, Areca Palm","Cocos nucifera, Areca sp.",Fruit Mix
192059,species_simp,"Coconut Palm, Areca Palm","Cocos nucifera, Areca sp.",Fruit Mix
192060,species_simp,"Coconut Palm, Areca Palm","Cocos nucifera, Areca sp.",Fruit Mix
192061,species_simp,"Coconut Palm, Areca Palm","Cocos nucifera, Areca sp.",Fruit Mix
192062,species_simp,"Coconut Palm, Areca Palm","Cocos nucifera, Areca sp.",Fruit Mix
192063,species_simp,"Coconut Palm, Areca Palm","Cocos nucifera, Areca sp.",Fruit Mix
192064,species_simp,"Coconut Palm, Areca Palm","Cocos nucifera, Areca sp.",Fruit Mix
192065,species_simp,"Coconut Palm, Areca Palm","Cocos nucifera, Areca sp.",Fruit Mix
192066,species_simp,"Coconut Palm, Areca Palm","Cocos nucifera, Areca sp.",Fruit Mix
192067,species_simp,"Coconut Palm, Areca Palm","Cocos nucifera, Areca sp.",Fruit Mix
192068,species_simp,"Coconut Palm, Areca Palm","Cocos nucifera, Areca sp.",Fruit Mix
192069,species_simp,"Coconut Palm, Areca Palm","Cocos nucifera, Areca sp.",Fruit Mix
192070,species_simp,"Coconut Palm, Areca Palm","Cocos nucifera, Areca sp.",Fruit Mix
192071,species_simp,"Coconut Palm, Areca Palm","Cocos nucifera, Areca sp.",Fruit Mix
192072,species_simp,"Coconut Palm, Areca Palm","Cocos nucifera, Areca sp.",Fruit Mix
192073,species_simp,"Coconut Palm, Areca Palm","Cocos nucifera, Areca sp.",Fruit Mix
192074,species_simp,"Coconut Palm, Areca Palm","Cocos nucifera, Areca sp.",Fruit Mix
192075,species_simp,"Coconut Palm, Areca Palm","Cocos nucifera, Areca sp.",Fruit Mix
192076,species_simp,"Coconut Palm, Areca Palm","Cocos nucifera, Areca sp.",Fruit Mix
192077,species_simp,"Coconut Palm, Areca Palm","Cocos nucifera, Areca sp.",Fruit Mix
192078,species_simp,"Coconut Palm, Areca Palm","Cocos nucifera, Areca sp.",Fruit Mix
192079,species_simp,"Coconut Palm, Areca Palm","Cocos nucifera, Areca sp.",Fruit Mix
192080,species_simp,"Coconut Palm, Areca Palm","Cocos nucifera, Areca sp.",Fruit Mix
192081,species_simp,"Coconut Palm, Areca Palm","Cocos nucifera, Areca sp.",Fruit Mix
192082,species_simp,"Coconut Palm, Areca Palm","Cocos nucifera, Areca sp.",Fruit Mix
192206,common_name;species_simp,"Oil Palm, Fruit","Elaeis guineensis, Unknown",Fruit Mix
192207,common_name;species_simp,"Oil Palm, Fruit","Elaeis guineensis, Unknown",Fruit Mix
192213,common_name;species_simp,"Rubber, Fruit","Hevea brasiliensis, Unknown",Fruit Mix
192214,common_name;species_simp,"Rubber, Fruit","Hevea brasiliensis, Unknown",Fruit Mix
192215,common_name;species_simp,"Rubber, Fruit","Hevea brasiliensis, Unknown",Fruit Mix
192216,common_name;species_simp,"Rubber, Fruit","Hevea brasiliensis, Unknown",Fruit Mix
192217,common_name;species_simp,"Rubber, Fruit","Hevea brasiliensis, Unknown",Fruit Mix
192218,common_name;species_simp,"Rubber, Fruit","Hevea brasiliensis, Unknown",Fruit Mix
192219,common_name;species_simp,"Rubber, Fruit","Hevea brasiliensis, Unknown",Fruit Mix
192220,common_name;species_simp,"Rubber, Fruit","Hevea brasiliensis, Unknown",Fruit Mix
192221,common_name;species_simp,"Oil Palm, Fruit","Elaeis guineensis, Unknown",Fruit Mix
192250,common_name;species_simp,"Oil Palm, Fruit","Elaeis guineensis, Unknown",Fruit Mix
192265,common_name;species_simp,"Oil Palm, Fruit","Elaeis guineensis, Unknown",Fruit Mix
192279,common_name;species_simp,"Oil Palm, Fruit","Elaeis guineensis, Unknown",Fruit Mix
192411,common_name;species_simp,"Fruit, Cacao","Unknown, Theobroma cacao",Fruit Mix
192412,common_name;species_simp,"Fruit, Cacao","Unknown, Theobroma cacao",Fruit Mix
192413,common_name;species_simp,"Fruit, Cacao","Unknown, Theobroma cacao",Fruit Mix
192414,common_name;species_simp,"Fruit, Cacao","Unknown, Theobroma cacao",Fruit Mix
192415,common_name;species_simp,"Fruit, Cacao","Unknown, Theobroma cacao",Fruit Mix
192416,common_name;species_simp,"Fruit, Cacao","Unknown, Theobroma cacao",Fruit Mix
192417,common_name;species_simp,"Fruit, Cacao","Unknown, Theobroma cacao",Fruit Mix
192418,common_name;species_simp,"Fruit, Cacao","Unknown, Theobroma cacao",Fruit Mix
192419,common_name;species_simp,"Fruit, Cacao","Unknown, Theobroma cacao",Fruit Mix
192791,common_name;species_simp,"Oil Palm, Fruit","Elaeis guineensis, Unknown",Fruit Mix
192792,common_name;species_simp,"Oil Palm, Fruit","Elaeis guineensis, Unknown",Fruit Mix
192793,common_name;species_simp,"Oil Palm, Fruit","Elaeis guineensis, Unknown",Fruit Mix
193091,species_simp,"Coconut Palm, Areca Palm","Cocos nucifera, Areca sp.",Fruit Mix
193092,species_simp,"Coconut Palm, Areca Palm","Cocos nucifera, Areca sp.",Fruit Mix
193093,species_simp,"Coconut Palm, Areca Palm","Cocos nucifera, Areca sp.",Fruit Mix
193094,species_simp,"Coconut Palm, Areca Palm","Cocos nucifera, Areca sp.",Fruit Mix
193095,species_simp,"Coconut Palm, Areca Palm","Cocos nucifera, Areca sp.",Fruit Mix
193096,species_simp,"Coconut Palm, Areca Palm","Cocos nucifera, Areca sp.",Fruit Mix
193097,species_simp,"Coconut Palm, Areca Palm","Cocos nucifera, Areca sp.",Fruit Mix
193098,species_simp,"Coconut Palm, Areca Palm","Cocos nucifera, Areca sp.",Fruit Mix
193099,species_simp,"Coconut Palm, Areca Palm","Cocos nucifera, Areca sp.",Fruit Mix
193100,species_simp,"Coconut Palm, Areca Palm","Cocos nucifera, Areca sp.",Fruit Mix
193101,species_simp,"Coconut Palm, Areca Palm","Cocos nucifera, Areca sp.",Fruit Mix
193102,species_simp,"Coconut Palm, Areca Palm","Cocos nucifera, Areca sp.",Fruit Mix
193103,species_simp,"Coconut Palm, Areca Palm","Cocos nucifera, Areca sp.",Fruit Mix
193128,common_name;species_simp,"Oil Palm, Fruit","Elaeis guineensis, Unknown",Fruit Mix
193129,common_name;species_simp,"Oil Palm, Fruit","Elaeis guineensis, Unknown",Fruit Mix
193660,species_simp,"Coconut Palm, Areca Palm","Cocos nucifera, Areca sp.",Fruit Mix
193856,common_name;species_simp,Fruit,Unknown,Fruit
194350,species_simp,Coconut Palm,Cocos nucifera,Fruit
194370,species_simp,"Coconut Palm, Areca Palm","Cocos nucifera, Areca sp.",Fruit Mix
195145,species_simp,"Coconut Palm, Areca Palm","Cocos nucifera, Areca sp.",Fruit Mix
195338,species_simp,"Coconut Palm, Areca Palm","Cocos nucifera, Areca sp.",Fruit Mix
196543,species_simp,Areca Palm,Areca sp.,Fruit
196640,species_simp,Areca Palm,Areca sp.,Fruit
197867,species_simp,"Rubber, Areca Palm","Hevea brasiliensis, Areca sp.",Fruit Mix
202150,species_simp,Coconut Palm,Cocos nucifera,Fruit
202450,species_simp,Coconut Palm,Cocos nucifera,Fruit
202537,species_simp,Coconut Palm,Cocos nucifera,Fruit
231834,species_simp,Coconut Palm,Cocos nucifera,Fruit
231835,species_simp,Coconut Palm,Cocos nucifera,Fruit
231836,species_simp,Coconut Palm,Cocos nucifera,Fruit
231837,species_simp,Coconut Palm,Cocos nucifera,Fruit
231838,species_simp,Coconut Palm,Cocos nucifera,Fruit
231839,species_simp,Coconut Palm,Cocos nucifera,Fruit
231840,species_simp,Coconut Palm,Cocos nucifera,Fruit
231841,species_simp,Coconut Palm,Cocos nucifera,Fruit
231842,species_simp,Coconut Palm,Cocos nucifera,Fruit
231900,species_simp,"Coconut Palm, Areca Palm","Cocos nucifera, Areca sp.",Fruit Mix
231901,species_simp,"Coconut Palm, Areca Palm","Cocos nucifera, Areca sp.",Fruit Mix
231902,species_simp,"Coconut Palm, Areca Palm","Cocos nucifera, Areca sp.",Fruit Mix
231903,species_simp,"Coconut Palm, Areca Palm","Cocos nucifera, Areca sp.",Fruit Mix
231904,species_simp,"Coconut Palm, Areca Palm","Cocos nucifera, Areca sp.",Fruit Mix
233697,species_simp,"Coconut Palm, Areca Palm","Cocos nucifera, Areca sp.",Fruit Mix
233698,species_simp,"Coconut Palm, Areca Palm","Cocos nucifera, Areca sp.",Fruit Mix
233699,species_simp,"Coconut Palm, Areca Palm","Cocos nucifera, Areca sp.",Fruit Mix
233700,species_simp,"Coconut Palm, Areca Palm","Cocos nucifera, Areca sp.",Fruit Mix
233701,species_simp,"Coconut Palm, Areca Palm","Cocos nucifera, Areca sp.",Fruit Mix
233702,species_simp,"Coconut Palm, Areca Palm","Cocos nucifera, Areca sp.",Fruit Mix
233703,species_simp,"Coconut Palm, Areca Palm","Cocos nucifera, Areca sp.",Fruit Mix
233704,species_simp,"Coconut Palm, Areca Palm","Cocos nucifera, Areca sp.",Fruit Mix
233705,species_simp,"Coconut Palm, Areca Palm","Cocos nucifera, Areca sp.",Fruit Mix
234474,species_simp,"Coconut Palm, Areca Palm","Cocos nucifera, Areca sp.",Fruit Mix
234475,species_simp,"Coconut Palm, Areca Palm","Cocos nucifera, Areca sp.",Fruit Mix
234476,species_simp,"Coconut Palm, Areca Palm","Cocos nucifera, Areca sp.",Fruit Mix
234477,species_simp,"Coconut Palm, Areca Palm","Cocos nucifera, Areca sp.",Fruit Mix
234478,species_simp,"Coconut Palm, Areca Palm","Cocos nucifera, Areca sp.",Fruit Mix
234479,species_simp,"Coconut Palm, Areca Palm","Cocos nucifera, Areca sp.",Fruit Mix
234480,species_simp,"Coconut Palm, Areca Palm","Cocos nucifera, Areca sp.",Fruit Mix
234481,species_simp,"Coconut Palm, Areca Palm","Cocos nucifera, Areca sp.",Fruit Mix
234482,species_simp,"Coconut Palm, Areca Palm","Cocos nucifera, Areca sp.",Fruit Mix
234483,species_simp,"Coconut Palm, Areca Palm","Cocos nucifera, Areca sp.",Fruit Mix
234484,species_simp,"Coconut Palm, Areca Palm","Cocos nucifera, Areca sp.",Fruit Mix
234485,species_simp,"Coconut Palm, Areca Palm","Cocos nucifera, Areca sp.",Fruit Mix
234486,species_simp,"Coconut Palm, Areca Palm","Cocos nucifera, Areca sp.",Fruit Mix
274475,species_simp,Coconut Palm,Cocos nucifera,Fruit
274476,species_simp,Coconut Palm,Cocos nucifera,Fruit
274477,species_simp,Coconut Palm,Cocos nucifera,Fruit
274478,species_simp,Coconut Palm,Cocos nucifera,Fruit
274479,species_simp,Coconut Palm,Cocos nucifera,Fruit
274480,species_simp,Coconut Palm,Cocos nucifera,Fruit
274481,species_simp,Coconut Palm,Cocos nucifera,Fruit
274482,species_simp,Coconut Palm,Cocos nucifera,Fruit
274483,species_simp,Coconut Palm,Cocos nucifera,Fruit
274484,species_simp,Coconut Palm,Cocos nucifera,Fruit
274485,species_simp,Coconut Palm,Cocos nucifera,Fruit
274486,species_simp,Coconut Palm,Cocos nucifera,Fruit
274487,species_simp,Coconut Palm,Cocos nucifera,Fruit
274488,species_simp,Coconut Palm,Cocos nucifera,Fruit
274623,species_simp,"Coconut Palm, Areca Palm","Cocos nucifera, Areca sp.",Fruit Mix
274624,species_simp,"Coconut Palm, Areca Palm","Cocos nucifera, Areca sp.",Fruit Mix
276969,species_simp,"Coconut Palm, Areca Palm","Cocos nucifera, Areca sp.",Fruit Mix
276970,species_simp,"Coconut Palm, Areca Palm","Cocos nucifera, Areca sp.",Fruit Mix
276971,species_simp,"Coconut Palm, Areca Palm","Cocos nucifera, Areca sp.",Fruit Mix
276972,species_simp,"Coconut Palm, Areca Palm","Cocos nucifera, Areca sp.",Fruit Mix
276973,species_simp,"Coconut Palm, Areca Palm","Cocos nucifera, Areca sp.",Fruit Mix
276974,species_simp,"Coconut Palm, Areca Palm","Cocos nucifera, Areca sp.",Fruit Mix
276975,species_simp,"Coconut Palm, Areca Palm","Cocos nucifera, Areca sp.",Fruit Mix
276976,species_simp,"Coconut Palm, Areca Palm","Cocos nucifera, Areca sp.",Fruit Mix
276977,species_simp,"Coconut Palm, Areca Palm","Cocos nucifera, Areca sp.",Fruit Mix
276978,species_simp,"Coconut Palm, Areca Palm","Cocos nucifera, Areca sp.",Fruit Mix
276979,species_simp,"Coconut Palm, Areca Palm","Cocos nucifera, Areca sp.",Fruit Mix
276980,species_simp,"Coconut Palm, Areca Palm","Cocos nucifera, Areca sp.",Fruit Mix
277677,species_simp,"Coconut Palm, Areca Palm","Cocos nucifera, Areca sp.",Fruit Mix
277678,species_simp,"Coconut Palm, Areca Palm","Cocos nucifera, Areca sp.",Fruit Mix
277679,species_simp,"Coconut Palm, Areca Palm","Cocos nucifera, Areca sp.",Fruit Mix
277680,species_simp,"Coconut Palm, Areca Palm","Cocos nucifera, Areca sp.",Fruit Mix
277681,species_simp,"Coconut Palm, Areca Palm","Cocos nucifera, Areca sp.",Fruit Mix
277682,species_simp,"Coconut Palm, Areca Palm","Cocos nucifera, Areca sp.",Fruit Mix
277683,species_simp,"Coconut Palm, Areca Palm","Cocos nucifera, Areca sp.",Fruit Mix
308533,species_simp,Coconut Palm,Cocos nucifera,Fruit
308534,species_simp,Coconut Palm,Cocos nucifera,Fruit
308535,species_simp,Coconut Palm,Cocos nucifera,Fruit
308536,species_simp,Coconut Palm,Cocos nucifera,Fruit
309774,species_simp,"Coconut Palm, Areca Palm","Cocos nucifera, Areca sp.",Fruit Mix
309775,species_simp,"Coconut Palm, Areca Palm","Cocos nucifera, Areca sp.",Fruit Mix
309776,species_simp,"Coconut Palm, Areca Palm","Cocos nucifera, Areca sp.",Fruit Mix
309777,species_simp,"Coconut Palm, Areca Palm","Cocos nucifera, Areca sp.",Fruit Mix
309778,species_simp,"Coconut Palm, Areca Palm","Cocos nucifera, Areca sp.",Fruit Mix
309779,species_simp,"Coconut Palm, Areca Palm","Cocos nucifera, Areca sp.",Fruit Mix
309780,species_simp,"Coconut Palm, Areca Palm","Cocos nucifera, Areca sp.",Fruit Mix
336128,species_simp,Coconut Palm,Cocos nucifera,Fruit
337317,species_simp,Coconut Palm,Cocos nucifera,Fruit
337722,species_simp,Coconut Palm,Cocos nucifera,Fruit
339536,species_simp,Coconut Palm,Cocos nucifera,Fruit
340881,common_name,"Oil Palm, Fruit","Elaeis guineensis, Unknown",Oil Palm Mix
340884,common_name,"Oil Palm, Fruit","Elaeis guineensis, Unknown",Oil Palm Mix
386978,common_name;species_simp,"Oil Palm, Fruit","Elaeis guineensis, Unknown",Fruit Mix
421774,common_name;species_simp,"Oil Palm, Fruit","Elaeis guineensis, Unknown",Fruit Mix
421775,common_name;species_simp,"Oil Palm, Fruit","Elaeis guineensis, Unknown",Fruit Mix
453350,species_simp,Coconut Palm,Cocos nucifera,Fruit
453684,species_simp,"Coconut Palm, Areca Palm","Cocos nucifera, Areca sp.",Fruit Mix
454785,species_simp,Coconut Palm,Cocos nucifera,Fruit
454939,species_simp,Coconut Palm,Cocos nucifera,Fruit
455326,common_name;species_simp,"Oil Palm, Fruit","Elaeis guineensis, Unknown",Fruit Mix
455327,common_name;species_simp,"Oil Palm, Fruit","Elaeis guineensis, Unknown",Fruit Mix
455328,common_name;species_simp,"Oil Palm, Fruit","Elaeis guineensis, Unknown",Fruit Mix
455329,common_name;species_simp,"Oil Palm, Fruit","Elaeis guineensis, Unknown",Fruit Mix
455330,common_name;species_simp,"Oil Palm, Fruit","Elaeis guineensis, Unknown",Fruit Mix
455331,common_name;species_simp,"Oil Palm, Fruit","Elaeis guineensis, Unknown",Fruit Mix
455422,species_simp,"Rubber, Coconut Palm","Hevea brasiliensis, Cocos nucifera",Fruit Mix
455629,common_name;species_simp,Fruit,Unknown,Fruit
456002,species_simp,"Coconut Palm, Areca Palm","Cocos nucifera, Areca sp.",Fruit Mix
456679,species_simp,Coconut Palm,Cocos nucifera,Fruit
456696,common_name;species_simp,"Oil Palm, Fruit","Elaeis guineensis, Unknown",Fruit Mix
456697,common_name;species_simp,"Oil Palm, Fruit","Elaeis guineensis, Unknown",Fruit Mix
456892,species_simp,"Rubber, Coconut Palm","Hevea brasiliensis, Cocos nucifera",Fruit Mix
456893,species_simp,"Rubber, Coconut Palm","Hevea brasiliensis, Cocos nucifera",Fruit Mix
456894,species_simp,"Rubber, Coconut Palm","Hevea brasiliensis, Cocos nucifera",Fruit Mix
456900,common_name;species_simp,"Fruit, Oil Palm","Unknown, Elaeis guineensis",Fruit Mix
457316,species_simp,"Oil Palm, Coconut Palm","Elaeis guineensis, Cocos nucifera",Fruit Mix
458750,species_simp,"Coconut Palm, Areca Palm","Cocos nucifera, Areca sp.",Fruit Mix
459650,common_name;species_simp,Fruit,Unknown,Fruit
460015,common_name;species_simp,"Oil Palm, Fruit","Elaeis guineensis, Unknown",Fruit Mix
461000,common_name;species_simp,"Rubber, Fruit","Hevea brasiliensis, Unknown",Fruit Mix
461001,common_name;species_simp,"Rubber, Fruit","Hevea brasiliensis, Unknown",Fruit Mix
461043,common_name;species_simp,"Rubber, Fruit","Hevea brasiliensis, Unknown",Fruit Mix
461049,common_name;species_simp,"Rubber, Fruit","Hevea brasiliensis, Unknown",Fruit Mix
461093,common_name;species_simp,"Oil Palm, Fruit","Elaeis guineensis, Unknown",Fruit Mix
461094,common_name;species_simp,"Oil Palm, Fruit","Elaeis guineensis, Unknown",Fruit Mix
461095,common_name;species_simp,"Oil Palm, Fruit","Elaeis guineensis, Unknown",Fruit Mix
461096,common_name;species_simp,"Oil Palm, Fruit","Elaeis guineensis, Unknown",Fruit Mix
461097,common_name;species_simp,"Oil Palm, Fruit","Elaeis guineensis, Unknown",Fruit Mix
461098,common_name;species_simp,"Oil Palm, Fruit","Elaeis guineensis, Unknown",Fruit Mix
461099,common_name;species_simp,"Oil Palm, Fruit","Elaeis guineensis, Unknown",Fruit Mix
461100,common_name;species_simp,"Oil Palm, Fruit","Elaeis guineensis, Unknown",Fruit Mix
461101,common_name;species_simp,"Oil Palm, Fruit","Elaeis guineensis, Unknown",Fruit Mix
461102,common_name;species_simp,"Oil Palm, Fruit","Elaeis guineensis, Unknown",Fruit Mix
461103,common_name;species_simp,"Oil Palm, Fruit","Elaeis guineensis, Unknown",Fruit Mix
461104,common_name;species_simp,"Oil Palm, Fruit","Elaeis guineensis, Unknown",Fruit Mix
461105,common_name;species_simp,"Oil Palm, Fruit","Elaeis guineensis, Unknown",Fruit Mix
461106,common_name;species_simp,"Oil Palm, Fruit","Elaeis guineensis, Unknown",Fruit Mix
461107,common_name;species_simp,"Oil Palm, Fruit","Elaeis guineensis, Unknown",Fruit Mix
461108,common_name;species_simp,"Oil Palm, Fruit","Elaeis guineensis, Unknown",Fruit Mix
461109,common_name;species_simp,"Oil Palm, Fruit","Elaeis guineensis, Unknown",Fruit Mix
461435,common_name;species_simp,"Oil Palm, Fruit","Elaeis guineensis, Unknown",Fruit Mix
462068,common_name;species_simp,"Oil Palm, Fruit","Elaeis guineensis, Unknown",Fruit Mix
462107,species_simp,"Coconut Palm, Areca Palm","Cocos nucifera, Areca sp.",Fruit Mix
493231,common_name;species_simp,"Oil Palm, Fruit","Elaeis guineensis, Unknown",Fruit Mix
493232,common_name;species_simp,"Oil Palm, Fruit","Elaeis guineensis, Unknown",Fruit Mix
496093,common_name;species_simp,"Oil Palm, Fruit","Elaeis guineensis, Unknown",Fruit Mix
496094,common_name;species_simp,"Oil Palm, Fruit","Elaeis guineensis, Unknown",Fruit Mix
496095,common_name;species_simp,"Oil Palm, Fruit","Elaeis guineensis, Unknown",Fruit Mix
496096,common_name;species_simp,"Oil Palm, Fruit","Elaeis guineensis, Unknown",Fruit Mix
496097,common_name;species_simp,"Oil Palm, Fruit","Elaeis guineensis, Unknown",Fruit Mix
496098,common_name;species_simp,"Oil Palm, Fruit","Elaeis guineensis, Unknown",Fruit Mix
496099,common_name;species_simp,"Oil Palm, Fruit","Elaeis guineensis, Unknown",Fruit Mix
496100,common_name;species_simp,"Oil Palm, Fruit","Elaeis guineensis, Unknown",Fruit Mix
496101,common_name;species_simp,"Oil Palm, Fruit","Elaeis guineensis, Unknown",Fruit Mix
496102,common_name;species_simp,"Oil Palm, Fruit","Elaeis guineensis, Unknown",Fruit Mix
496103,common_name;species_simp,"Oil Palm, Fruit","Elaeis guineensis, Unknown",Fruit Mix
496104,common_name;species_simp,"Oil Palm, Fruit","Elaeis guineensis, Unknown",Fruit Mix
496105,common_name;species_simp,"Oil Palm, Fruit","Elaeis guineensis, Unknown",Fruit Mix
496106,common_name;species_simp,"Oil Palm, Fruit","Elaeis guineensis, Unknown",Fruit Mix
496107,common_name;species_simp,"Oil Palm, Fruit","Elaeis guineensis, Unknown",Fruit Mix
496108,common_name;species_simp,"Oil Palm, Fruit","Elaeis guineensis, Unknown",Fruit Mix
496109,common_name;species_simp,"Oil Palm, Fruit","Elaeis guineensis, Unknown",Fruit Mix
496110,common_name;species_simp,"Oil Palm, Fruit","Elaeis guineensis, Unknown",Fruit Mix
496111,common_name;species_simp,"Oil Palm, Fruit","Elaeis guineensis, Unknown",Fruit Mix
496112,common_name;species_simp,"Oil Palm, Fruit","Elaeis guineensis, Unknown",Fruit Mix
496113,common_name;species_simp,"Oil Palm, Fruit","Elaeis guineensis, Unknown",Fruit Mix
496114,common_name;species_simp,"Oil Palm, Fruit","Elaeis guineensis, Unknown",Fruit Mix
496115,common_name;species_simp,"Oil Palm, Fruit","Elaeis guineensis, Unknown",Fruit Mix
496116,common_name;species_simp,"Oil Palm, Fruit","Elaeis guineensis, Unknown",Fruit Mix
496117,common_name;species_simp,"Oil Palm, Fruit","Elaeis guineensis, Unknown",Fruit Mix
496118,common_name;species_simp,"Oil Palm, Fruit","Elaeis guineensis, Unknown",Fruit Mix
496119,common_name;species_simp,"Oil Palm, Fruit","Elaeis guineensis, Unknown",Fruit Mix
496120,common_name;species_simp,"Oil Palm, Fruit","Elaeis guineensis, Unknown",Fruit Mix
496121,common_name;species_simp,"Oil Palm, Fruit","Elaeis guineensis, Unknown",Fruit Mix
496122,common_name;species_simp,"Oil Palm, Fruit","Elaeis guineensis, Unknown",Fruit Mix
496123,common_name;species_simp,"Oil Palm, Fruit","Elaeis guineensis, Unknown",Fruit Mix
496124,common_name;species_simp,"Oil Palm, Fruit","Elaeis guineensis, Unknown",Fruit Mix
496125,common_name;species_simp,"Oil Palm, Fruit","Elaeis guineensis, Unknown",Fruit Mix
